"id","scientific","english","region","landcover","estimate","lower","upper"
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Arctic Grass",0.258,0.228,0.28
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Wetland",0.315,0.302,0.324
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Cropland",0.166,0.156,0.178
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Conifer",0.4334,0.4211,0.4451
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Taiga Conifer",0.2602,0.2278,0.3004
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Deciduous",0.1764,0.1657,0.1927
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Mixedwood",0.3511,0.3389,0.364
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Shrub",0.2126,0.1981,0.2294
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Grass",0.2471,0.2363,0.2614
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Arctic Grass",0.2401,0.2162,0.2652
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Wetland",0.315,0.2946,0.3387
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-0 Boreal Taiga Plains, South","Cropland",0.0759,0.0696,0.0838
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Conifer",0.465,0.414,0.52
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Taiga Conifer",0.439,0.387,0.502
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Deciduous",0.419,0.372,0.45
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Mixedwood",0.448,0.402,0.486
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Shrub",0.384,0.335,0.421
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Grass",0.375,0.344,0.419
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Arctic Shrub",0.403,0.346,0.458
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Arctic Grass",0.385,0.339,0.456
"YRWA","Setophaga coronata","Yellow-rumped Warbler","6-1 Boreal Taiga Plains, North","Wetland",0.412,0.371,0.448
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Conifer",0.356,0.326,0.382
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Taiga Conifer",0.334,0.31,0.361
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Deciduous",0.278,0.263,0.302
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Mixedwood",0.337,0.312,0.362
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Shrub",0.298,0.27,0.338
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Grass",0.303,0.278,0.331
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Arctic Shrub",0.245,0.229,0.271
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Arctic Grass",0.236,0.214,0.26
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Wetland",0.264,0.248,0.287
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-0 Taiga Shield & Hudson Plains, West","Cropland",0.229,0.215,0.271
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Conifer",0.426,0.391,0.463
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Taiga Conifer",0.37,0.335,0.413
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Deciduous",0.371,0.343,0.399
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Mixedwood",0.394,0.37,0.426
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Shrub",0.351,0.33,0.393
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Grass",0.381,0.352,0.417
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Arctic Shrub",0.358,0.311,0.43
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Arctic Grass",0.324,0.263,0.404
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Wetland",0.348,0.319,0.382
"YRWA","Setophaga coronata","Yellow-rumped Warbler","7-1 Taiga Shield & Hudson Plains, East","Cropland",0.338,0.314,0.393
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Conifer",0.311,0.2956,0.332
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Taiga Conifer",0.277,0.2383,0.332
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Deciduous",0.206,0.195,0.232
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Mixedwood",0.276,0.26,0.299
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Shrub",0.238,0.2075,0.279
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Grass",0.233,0.1971,0.265
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Arctic Grass",0.21,0.181,0.241
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Wetland",0.27,0.2506,0.29
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-0 Boreal Softwood Shield, West","Cropland",0.102,0.0929,0.119
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Conifer",0.362,0.34,0.405
